method,case_id,category,generated_zig_path,expected_compile_status,actual_compile_status,expected_run_status,actual_run_status,zig_command,exit_code,stdout_excerpt,stderr_excerpt,elapsed_time,timeout_flag,local_zig_version,optimize_mode,expected_classification,actual_classification,hn_context_marker,article_context_marker,skip_reason,failure_reason,version_sensitive,local_observation_only
zig_version_probe,local_zig_version_marker,version_probe,generated_cases/local_zig_version_marker.zig,probe,n/a,skip,n/a,,,,,0.0,False,zig_not_found,Debug,version_probe,version_probe,pre_1_0_api_changed,version_sensitive,context_marker_only,,True,True
zig_version_probe,zig_env_std_dir_marker,version_probe,generated_cases/zig_env_std_dir_marker.zig,probe,n/a,skip,n/a,,,,,0.0,False,zig_not_found,Debug,version_probe,version_probe,pre_1_0_api_changed,version_sensitive,context_marker_only,,True,True
zig_version_probe,std_io_namespace_probe_marker,stdlib_probe,generated_cases/std_io_namespace_probe_marker.zig,probe,n/a,skip,n/a,,,,,0.0,False,zig_not_found,Debug,stdlib_probe,stdlib_probe,standard_library_abstraction,std_io_design,context_marker_only,,True,True
zig_version_probe,std_io_threaded_exists_marker,stdlib_probe,generated_cases/std_io_threaded_exists_marker.zig,probe,n/a,skip,n/a,,,,,0.0,False,zig_not_found,Debug,stdlib_probe,stdlib_probe,standard_library_abstraction,std_io_threaded,context_marker_only,,True,True
zig_version_probe,std_io_type_shape_marker,stdlib_probe,generated_cases/std_io_type_shape_marker.zig,probe,n/a,skip,n/a,,,,,0.0,False,zig_not_found,Debug,stdlib_probe,stdlib_probe,library_boundary_io,std_io_design,context_marker_only,,True,True
zig_version_probe,io_sleep_probe_marker,stdlib_probe,generated_cases/io_sleep_probe_marker.zig,probe,n/a,skip,n/a,,,,,0.0,False,zig_not_found,Debug,stdlib_probe,stdlib_probe,async_vs_concurrent,async_model,context_marker_only,,True,True
zig_version_probe,io_async_exists_marker,async_api,generated_cases/io_async_exists_marker.zig,probe,n/a,skip,n/a,,,,,0.0,False,zig_not_found,Debug,async_api,async_api,async_vs_concurrent,io_async,context_marker_only,,True,True
zig_version_probe,io_concurrent_exists_marker,async_api,generated_cases/io_concurrent_exists_marker.zig,probe,n/a,skip,n/a,,,,,0.0,False,zig_not_found,Debug,async_api,async_api,async_vs_concurrent,io_concurrent,context_marker_only,,True,True
zig_version_probe,async_concurrent_renamed_context_marker,async_api,generated_cases/async_concurrent_renamed_context_marker.zig,probe,n/a,skip,n/a,,,,,0.0,False,zig_not_found,Debug,async_api,async_api,pre_1_0_api_changed,api_renaming,context_marker_only,,True,True
zig_version_probe,future_await_exists_marker,await_cancel,generated_cases/future_await_exists_marker.zig,probe,n/a,skip,n/a,,,,,0.0,False,zig_not_found,Debug,await_cancel,await_cancel,cancellation_await_ordering,await_api,context_marker_only,,True,True
zig_version_probe,future_cancel_exists_marker,await_cancel,generated_cases/future_cancel_exists_marker.zig,probe,n/a,skip,n/a,,,,,0.0,False,zig_not_found,Debug,await_cancel,await_cancel,cancellation_await_ordering,cancel_api,context_marker_only,,True,True
zig_version_probe,await_idempotent_context_marker,await_cancel,generated_cases/await_idempotent_context_marker.zig,may_fail,n/a,skip,n/a,,,,,0.0,False,zig_not_found,Debug,await_cancel,await_cancel,cancellation_await_ordering,await_ordering,context_marker_only,,True,True
